,multi_sample_binning/S3.bam_cov
S4:k115_8440,0.2862279487179487
S4:k115_251,0.015700669655365648
S4:k115_9277,0.0986146511627907
S4:k115_5073,0.017617223476297968
S4:k115_930,0.2152677319587629
S4:k115_3061,0.037921539740605255
S4:k115_9656,0.9805213927760275
S4:k115_6692,0.010894770064696625
S4:k115_948,0.06694069306930693
S4:k115_5508,0.00864014018146619
S4:k115_8807,0.02726945156579588
S4:k115_7134,0.030981574034789988
S4:k115_8475,0.01811897435897436
S4:k115_287,0.014635228519195612
S4:k115_7661,0.007947632884479092
S4:k115_583,0.03412131059245961
S4:k115_4743,0.020710346525624656
S4:k115_1366,0.009475713083718973
S4:k115_9298,0.0033212582781456954
S4:k115_6719,0.030195945423810672
S4:k115_8494,0.024211596806387226
S4:k115_588,0.009980089730807577
S4:k115_6731,0.3408115932287777
S4:k115_7672,0.008195007145641158
S4:k115_3479,0.016683238325916745
S4:k115_7165,0.00781447730540152
S4:k115_1747,0.012313223544730648
S4:k115_6343,0.008392461311717022
S4:k115_9303,0.003983749172135589
S4:k115_2250,0.007115841708542714
S4:k115_4771,0.014621030670001317
S4:k115_3114,0.03733809430255403
S4:k115_960,0.004310486736907949
S4:k115_7966,0.006939964430271065
S4:k115_8505,0.0025280211316283203
S4:k115_1777,0.002786492364645997
S4:k115_5172,0.005687290836653386
S4:k115_363,0.8038651706173482
S4:k115_8515,0.027302315058654537
S4:k115_9349,0.02239187344570323
S4:k115_3485,0.002971914497654059
S4:k115_3120,0.007951483803552768
S4:k115_2566,0.007244062456151291
S4:k115_6753,0.002665576711093296
S4:k115_7245,0.06293189006750241
S4:k115_8021,0.033024769765421375
S4:k115_8534,0.003774452809895133
S4:k115_9358,0.012608099958694753
S4:k115_4807,0.002316395813004524
S4:k115_9693,0.01762887920779346
S4:k115_1399,0.00246235989386508
S4:k115_4372,0.003704458312531203
S4:k115_3924,0.014702982456140351
S4:k115_1807,0.007607551080622556
S4:k115_1407,0.03953470293933709
S4:k115_6754,0.0016340796881767
S4:k115_5195,0.0030874214447683835
S4:k115_4399,0.5617656241729158
S4:k115_682,0.009334814367121394
S4:k115_1812,0.01366732529265697
S4:k115_7287,0.002887517828099587
S4:k115_6065,0.014045314662699695
S4:k115_8929,0.009011113728067772
S4:k115_2569,0.011350179247994564
S4:k115_2576,0.01618549302016397
S4:k115_3976,0.03278792952745152
S4:k115_724,0.015923251654696522
S4:k115_7686,0.005692419793174037
S4:k115_1105,0.04538565088023804
S4:k115_3171,0.01351974930362117
S4:k115_7357,0.030729482619240096
S4:k115_6078,0.003919455089531347
S4:k115_2371,0.0105132460819584
S4:k115_6777,0.006885339243712683
S4:k115_5675,0.0028567706129697824
S4:k115_6440,0.0032681613748163293
S4:k115_8094,0.021267407884565832
S4:k115_1113,0.02789630966061442
S4:k115_6113,0.008327449315543233
S4:k115_5690,0.01800370220422852
S4:k115_4909,0.0017354601226993865
S4:k115_1881,0.007912771957133448
S4:k115_9359,0.009565520321336082
S4:k115_1887,0.025621175785797437
S4:k115_5215,0.017415355493998152
S4:k115_8535,0.013119907316456434
S4:k115_5702,0.012381526456033498
S4:k115_4418,0.010813458357436563
S4:k115_2389,0.010977063770147162
S4:k115_9775,0.18463391890869665
S4:k115_2637,0.0021030973290257996
S4:k115_1132,0.0265179131755598
S4:k115_7738,0.01099901098901099
S4:k115_7382,0.04302140869989629
S4:k115_6815,0.0019022618568322732
S4:k115_3648,0.011021729573744131
S4:k115_2432,0.016978830936858088
S4:k115_6161,0.02136419566791024
S4:k115_8144,0.061059284578696346
S4:k115_8943,0.043432953560427784
S4:k115_4442,0.009352156481121058
S4:k115_5716,0.00912491392880719
S4:k115_5272,0.020979855832241153
S4:k115_4083,0.010369900637384221
S4:k115_2657,0.003900770228402623
S4:k115_6474,0.003889926485603431
S4:k115_2437,0.031149000710395454
